Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
05/31/2025,05/31/2025,05/31/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 05/27/2025 P/D 05/31/2025 - 0.457134 shares at 0.4394,CDIV,,,$0.20
01/07/2025,01/07/2025,01/07/2025,AAPL,Apple Inc CUSIP: 037833100 Cash Div: R/D 01/03/2025 P/D 01/07/2025 - 0.266538 shares at 0.8047,CDIV,,,$0.21
12/14/2024,12/14/2024,12/15/2024,QCOM,Qualcomm CUSIP: 747525103 Dividend Reinvestment,Buy,0.000334,$162.85,($0.05)
03/15/2025,03/15/2025,03/17/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001307,$87.33,($0.11)
02/16/2025,02/16/2025,02/16/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Cash Div: R/D 02/10/2025 P/D 02/16/2025 - 0.396433 shares at 0.7867,CDIV,,,$0.31
02/07/2025,02/07/2025,02/09/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000139,$544.96,($0.08)
12/14/2024,12/14/2024,12/14/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 12/10/2024 P/D 12/14/2024 - 0.309316 shares at 0.9805,CDIV,,,$0.30
07/07/2024,07/07/2024,07/09/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000293,$422.93,($0.12)
02/06/2025,02/06/2025,02/08/2025,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000557,$452.99,($0.25)
07/04/2024,07/04/2024,07/06/2024,TSLA,Tesla Inc CUSIP: 88160R101 Dividend Reinvestment,Buy,0.000816,$434.24,($0.35)
06/13/2025,06/13/2025,06/15/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.001010,$425.73,($0.43)
01/27/2025,01/27/2025,01/29/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.001407,$75.84,($0.11)
04/21/2025,04/21/2025,04/21/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 04/17/2025 P/D 04/21/2025 - 0.254694 shares at 0.5378,CDIV,,,$0.14
07/29/2024,07/29/2024,07/29/2024,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Cash Div: R/D 07/26/2024 P/D 07/29/2024 - 0.114781 shares at 0.8238,CDIV,,,$0.09
09/11/2024,09/11/2024,09/11/2024,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Cash Div: R/D 09/04/2024 P/D 09/11/2024 - 0.216572 shares at 0.943,CDIV,,,$0.20
03/25/2025,03/25/2025,03/26/2025,SPY,SPDR S&P 500 ETF Trust CUSIP: 78462F103 Dividend Reinvestment,Buy,0.000897,$512.27,($0.46)
01/16/2025,01/16/2025,01/17/2025,SCHD,Schwab US Dividend Equity ETF CUSIP: 808524797 Dividend Reinvestment,Buy,0.000507,$70.07,($0.04)
02/06/2025,02/06/2025,02/06/2025,MSFT,Microsoft Corporation CUSIP: 594918104 Cash Div: R/D 02/03/2025 P/D 02/06/2025 - 0.455166 shares at 0.8327,CDIV,,,$0.38
01/22/2025,01/22/2025,01/24/2025,JNJ,Johnson & Johnson CUSIP: 478160104 Dividend Reinvestment,Buy,0.000789,$131.84,($0.10)
08/26/2024,08/26/2024,08/27/2024,AAPL,Apple Inc CUSIP: 037833100 Dividend Reinvestment,Buy,0.000655,$243.83,($0.16)
03/21/2025,03/21/2025,03/22/2025,XLY,Consumer Discretionary Select Sector SPDR Fund CUSIP: 81369Y407 Dividend Reinvestment,Buy,0.000384,$214.49,($0.08)
12/16/2024,12/16/2024,12/17/2024,VOO,Vanguard S&P 500 ETF CUSIP: 922908363 Dividend Reinvestment,Buy,0.000550,$545.10,($0.30)
05/22/2025,05/22/2025,05/22/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 05/19/2025 P/D 05/22/2025 - 0.444445 shares at 0.5987,CDIV,,,$0.27
03/14/2025,03/14/2025,03/14/2025,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Cash Div: R/D 03/11/2025 P/D 03/14/2025 - 0.450218 shares at 1.1243,CDIV,,,$0.51
08/02/2024,08/02/2024,08/02/2024,TSLA,Tesla Inc CUSIP: 88160R101 Cash Div: R/D 07/29/2024 P/D 08/02/2024 - 0.346087 shares at 1.0516,CDIV,,,$0.36
09/01/2024,09/01/2024,09/03/2024,MSFT,Microsoft Corporation CUSIP: 594918104 Dividend Reinvestment,Buy,0.000828,$467.49,($0.39)
08/08/2024,08/08/2024,08/09/2024,VYM,Vanguard High Dividend Yield ETF CUSIP: 921946406 Dividend Reinvestment,Buy,0.000350,$114.25,($0.04)
